[19/May/2020 21:31:21] INFO [django.utils.autoreload:598] Watching for file changes with StatReloader
[19/May/2020 21:31:21] DEBUG [django.utils.autoreload:286] Waiting for apps ready_event.
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:297] Apps ready_event triggered. Sending autoreload_started signal.
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\aldio\Documents\Projects\Yukina\locale with glob **/*.mo.
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\lib\site-packages\django\contrib\admin\locale with glob **/*.mo.
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\lib\site-packages\allauth\locale with glob **/*.mo.
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\lib\site-packages\rest_framework\locale with glob **/*.mo.
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\aldio\Documents\Projects\Yukina\app\fusioncharts\locale with glob **/*.mo.
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:349] File C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1589898046.2793036
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:349] File C:\Users\aldio\AppData\Local\Programs\Python\Python38-32\Lib\operator.py first seen with mtime 1582648236.0
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:349] File C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\Lib\site-packages\django\forms\fields.py first seen with mtime 1589898046.329177
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:349] File C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1589898039.2389052
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:349] File C:\Users\aldio\AppData\Local\Programs\Python\Python38-32\Lib\queue.py first seen with mtime 1582648236.0
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:349] File C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\Lib\site-packages\django\conf\__init__.py first seen with mtime 1589898040.1992557
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:349] File C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\Lib\site-packages\django\contrib\contenttypes\checks.py first seen with mtime 1589898042.9591408
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:349] File C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\Lib\site-packages\django\utils\inspect.py first seen with mtime 1589898046.509418
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:349] File C:\Users\aldio\AppData\Local\Programs\Python\Python38-32\Lib\site.py first seen with mtime 1582648236.0
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:349] File C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\Lib\site-packages\requests\models.py first seen with mtime 1589898112.478814
[19/May/2020 21:31:22] DEBUG [django.utils.autoreload:349] File C:\Users\aldio\Documents\Projects\VirtualEnv\yukina\Lib\site-packages\django\utils\version.py first seen with mtime 1589898046.5292714
